dive,time,vertSpeed,horzSpeed,speed,speed_qc,glideAngle,buoyancy,north_displacement,east_displacement
60,1770525278,-12.379174105705,32.2597615546737,34.5533814134559,1,-20.9935165766535,-240.61604752006,-1.88310110129786,2.61972016359819
60,1770525288,-12.4470311349486,32.3238756221421,34.6375738080786,1,-21.0603163262663,-239.983617808772,-1.87030521797338,2.63673611930733
60,1770525298,-12.4988551580324,32.4579791686688,34.7813425844261,1,-21.0605998827308,-244.110730095314,-1.78955160674787,2.70750851912853
60,1770525308,-12.4991766134833,32.4914915228436,34.8127338397039,1,-21.0412731601268,-244.456673342206,-1.70307653570494,2.76741971408139
60,1770525318,-12.4885832481402,32.4685983446495,34.7875637263075,1,-21.0385268444059,-241.389891675837,-1.65646068291658,2.79215483615769
60,1770525328,-12.509961316962,32.4827610514789,34.8084601451911,1,-21.0630010780527,-245.29805680499,-1.65918692424462,2.79180517076221
60,1770525338,-12.5097010936514,32.466593751198,34.7932799726877,1,-21.0721695121885,-241.156878578515,-1.60442913336614,2.82326427944649
60,1770525348,-12.5032119370994,32.4915444165552,34.8142322522988,1,-21.0474402499152,-243.60736989937,-1.42824036339418,2.91877464075947
60,1770525358,-12.5239964631154,32.5635032441165,34.8888553973574,1,-21.0368552099581,-244.888955526436,-1.41044674487537,2.9346783318472
60,1770525368,-12.5379155144106,32.5504965260654,34.8817165509367,1,-21.0658636211783,-244.854746904825,-1.36464859011971,2.95553742801812
60,1770525378,-12.5453080308301,32.4982864840786,34.8356624451101,1,-21.108075811492,-241.287027194396,-1.32302526862149,2.96761967857922
60,1770525388,-12.5553899636784,32.4824482327528,34.8245209634462,1,-21.1329346513467,-243.914372283632,-1.3695877038506,2.94503200150477
60,1770525398,-12.5556071709461,32.4916989809838,34.8332280172535,1,-21.127781961684,-240.881209631366,-1.30066063891677,2.97854363515954
60,1770525408,-12.5716763030354,32.540053979671,34.8841247284235,1,-21.1237734214633,-244.739541874541,-1.25186532746067,3.00320943009891
60,1770525418,-12.5811838552286,32.551315877813,34.8980565730561,1,-21.1316706264989,-243.119034853582,-1.18707156560358,3.03131355695596
60,1770525428,-12.5438443583612,32.4874384757114,34.825015290735,1,-21.1122567328421,-242.91893744722,-1.11274381951341,3.05154334275816
60,1770525438,-12.5225681523043,32.4624329028513,34.7940262559714,1,-21.0944044588447,-241.931398858835,-1.1929820699146,3.01978552793552
60,1770525448,-12.5607394457325,32.5057939624918,34.8482254434218,1,-21.1272998198058,-243.759511581887,-1.45776753878686,2.90427983516941
60,1770525458,-12.6071412398327,32.554195776501,34.910108462963,1,-21.1697040525826,-242.276243572322,-1.5790719920406,2.84680316679964
60,1770525468,-12.6333378734624,32.610901205233,34.9724477731046,1,-21.1761764202185,-243.571986355851,-1.74179548921947,2.75850804002892
60,1770525478,-12.5917806057671,32.5787135891859,34.9274321694278,1,-21.1316820269047,-245.406679413417,-1.86820325768292,2.6674057070649
60,1770525488,-12.4867727056914,32.4160709414106,34.7378921047631,1,-21.0668420758348,-241.282542842606,-1.89780840914551,2.62919105329415
60,1770525498,-12.4375238536957,32.3483968547948,34.6570451522709,1,-21.0310808540141,-240.909875538609,-1.9139336416134,2.60828269111133
60,1770525508,-12.4146294667875,32.4020051999587,34.6988899790149,1,-20.9640278428101,-243.423511470176,-1.94890444878713,2.58694289223156
60,1770525518,-12.3756356012418,32.4394939312153,34.7199816107105,1,-20.8818045985394,-245.057404448519,-1.72344812141027,2.74902603455744
60,1770525528,-12.4141382841051,32.4849708857223,34.7762010976344,1,-20.9143667120669,-244.203783151871,-1.38622903663983,2.93823295394476
60,1770525538,-12.5129650762646,32.5161636164824,34.8407116938456,1,-21.0478689448924,-245.177534812069,-1.25375397020202,2.9994802001921
60,1770525548,-12.5529799986944,32.4688486489824,34.810967229282,8,-21.1373048973046,-240.621460679533,-1.11192169018896,3.05021028522786
60,1770525558,-12.4997815264242,32.3552793784729,34.6858565105054,8,-21.1229905228743,-243.135951979485,-0.920872835995838,3.10238977683249
60,1770525568,-12.4394249380423,32.2554870450703,34.5710245336161,1,-21.0892821559745,-238.277212128436,-0.778584979820398,3.12950610005759
60,1770525578,-12.451338224481,32.3197446265182,34.6352669443123,1,-21.0694211533525,-240.693001058302,-0.866621990488266,3.1149612106177
60,1770525588,-12.5283145560581,32.4717386432238,34.8047766280632,1,-21.0977168539898,-244.893023441285,-0.753017724158576,3.15731989151831
60,1770525598,-12.5992626617405,32.5227923927997,34.8779793658503,1,-21.1762649653105,-241.682891032364,-0.50851283359445,3.21227877811395
60,1770525608,-12.6203413183958,32.4976730779245,34.8621825259473,1,-21.2234814755205,-242.638941804235,-0.478528576850843,3.21499968442312
60,1770525618,-12.6161933547472,32.4735880545678,34.8382298043706,1,-21.2314616965159,-240.615447278908,-0.441453580122752,3.21754051542342
60,1770525628,-12.5875379537379,32.4253518460808,34.7828916865594,1,-21.2162373611822,-242.540495669292,-0.406560211674214,3.21629263737856
60,1770525638,-12.5106693814561,32.2907912562554,34.629641181034,1,-21.1782451271579,-239.649295425158,-0.415687406216494,3.20253670133074
60,1770525648,-12.4023040765406,32.1542546181867,34.4632157010654,1,-21.0922599696004,-238.164205824845,-0.411433105624238,3.18866996742761
60,1770525658,-12.3121033700898,32.1195862085613,34.3984840887644,1,-20.9728640308695,-240.238756602449,-0.367020829515301,3.19092054003134
60,1770525668,-12.2430661366841,32.1179076865338,34.3722658925467,1,-20.8664099718654,-240.972121249082,-0.348363135333765,3.19316553613236
60,1770525678,-12.1595499165874,32.0697699255662,34.2975917121411,1,-20.7646860993886,-241.393181447445,-0.198108386516189,3.2014947277341
60,1770525688,-12.0993216758336,31.9692387836267,34.1822441249816,1,-20.7300314680584,-241.123114340473,-0.099706872647401,3.19440917766875
60,1770525698,-12.2327230574671,31.7900059242368,34.0623544409909,1,-21.0466132248408,-240.153493873828,-0.222407919830229,3.17216701650653
60,1770525708,-12.731093710444,31.8242399093096,34.2762744893519,1,-21.8035788307649,-222.95825757707,-0.446951654858884,3.15023907758849
60,1770525718,-13.3710043201778,32.3852816371451,35.0369836493872,1,-22.4344025842443,-230.343539282329,-0.806381442823048,3.13586011063864
60,1770525728,-13.6924861786804,32.9776449043466,35.7072715450304,1,-22.548473895426,-238.884620216728,-1.22078247008699,3.06277512153363
60,1770525738,-13.5401693911362,33.0248866137086,35.6928469442964,1,-22.2935784820265,-240.601609522826,-1.59885683046006,2.89040669918884
60,1770525748,-13.0755499504148,32.6892918645793,35.2073828779341,8,-21.8011574611288,-237.477812610524,-1.70376227538888,2.78943636191573
