dive,time,latitude,longitude,depth,temperature,salinity,density,soundVelocity
30,1770018885,21.4638441756439,-158.384241661019,670.675441199035,5.38605111820744,34.356287726538,1027.1203046861,1482.6326578255
30,1770018905,21.4638102547958,-158.384227952716,672.948699381711,5.36630738253535,34.3564653120239,1027.12280035797,1482.59090974952
30,1770018925,21.4637769290933,-158.384213034291,675.301694788764,5.3503512278944,34.3589383012448,1027.12665819841,1482.56892017499
30,1770018945,21.4637451203925,-158.384194652051,677.544991846004,5.34478381482037,34.3607282022101,1027.12873755371,1482.5864516916
30,1770018965,21.4637158358899,-158.384172706402,679.798234709784,5.32900420802524,34.3671912487426,1027.1357298575,1482.5687436408
30,1770018985,21.4636881801454,-158.384148472707,682.071392995329,5.32300979261868,34.3680344608437,1027.1371092118,1482.58377786805
30,1770019005,21.4636599328633,-158.384124789458,684.274737579946,5.31956891296169,34.3680563402097,1027.13753490515,1482.60694895706
30,1770019025,21.4636303623433,-158.384102908589,686.567786300276,5.31390160981011,34.3697852960507,1027.13957615678,1482.62482028032
30,1770019045,21.463599586349,-158.384083244013,688.870779309295,5.31003710171741,34.371291758137,1027.14122719956,1482.6499096744
30,1770019065,21.4635679225894,-158.384065171506,691.143838271792,5.30829526931203,34.3721372931258,1027.14210318023,1482.68227043387
30,1770019085,21.4635353478527,-158.384048401217,693.506596872462,5.30635173878133,34.3717590020639,1027.14203402179,1482.71370481649
30,1770019105,21.4635017405534,-158.38403436479,695.779605092826,5.29881137367765,34.3735461124705,1027.14434243337,1482.72367919809
30,1770019125,21.4634666433127,-158.38402393292,698.142310952198,5.28915734699087,34.3766313307433,1027.1479282896,1482.72826220464
30,1770019145,21.4634307135285,-158.384015488765,700.425237494758,5.2877818653487,34.376460460782,1027.14795574312,1482.76094165231
30,1770019165,21.4633946460017,-158.384007457718,702.738045784313,5.28673040699853,34.3769185583378,1027.14844288544,1482.79627276765
30,1770019185,21.463358410012,-158.383999491744,705.09070365675,5.28219007595785,34.3778166762435,1027.14969110052,1482.81862689879
30,1770019205,21.463322568884,-158.383991230754,707.423397442371,5.27155873639795,34.3798422922608,1027.15255173418,1482.81729096163
30,1770019225,21.4632865896806,-158.383983637011,709.805908072396,5.25283958095121,34.3840433823402,1027.15808817593,1482.78665941108
30,1770019245,21.4632497724928,-158.383977977291,712.208328362221,5.25054966588011,34.3828270506636,1027.15739494538,1482.81622838639
30,1770019265,21.4632125587189,-158.38397446766,714.501068706111,5.24855312848441,34.384251035681,1027.1587580424,1482.84864046311
30,1770019285,21.4631749381735,-158.383972502645,716.793783749095,5.2474750704505,34.3850682603787,1027.15953232296,1482.88399977244
30,1770019305,21.4631369081535,-158.383971230389,719.116377974678,5.24730473821405,34.3840959909155,1027.15878241378,1482.9212019906
30,1770019325,21.4630989565077,-158.383971057351,721.319329623189,5.24448225901173,34.3851523654436,1027.15995165859,1482.94824603755
30,1770019345,21.4630605944196,-158.383973821354,723.592033544836,5.23770103528388,34.386533014552,1027.16184393971,1482.96073399313
