dive,startTime,startLatitude,startLongitude,endTime,endLatitude,endLongitude,duration_hr,distance_km,maxDepth_m,dac_n,dac_e,dac_n_gsm,dac_e_gsm,dac_qc,avg_speed_n,avg_speed_e,avg_speed_n_gsm,avg_speed_e_gsm,hdm_qc
11,1769724765,21.18655,-158.28385,1769737495,21.1934,-158.3164,3.53611111111111,3.45956771472052,727.741045508353,-0.0383255751657126,0.0211264793855861,-0.0374817544008309,0.0216225318974011,1,0.0982595762760747,-0.286666466977868,0.097415755511193,-0.287162519489683,1
12,1769740967,21.1848333333333,-158.31465,1769759438,21.2342,-158.299516666667,5.13083333333333,5.70908874812577,1000.36321536997,-0.00123233780906137,0.0388853438377348,-0.00339089691783051,0.0388249865902783,1,0.298865674082974,0.0461738284075202,0.301024233191743,0.0462341856549768,1
13,1769760066,21.2337,-158.297416666667,1769776057,21.2795666666667,-158.3054,4.44194444444444,5.16680553038694,1005.57655641313,-0.0264809740452589,0.0138616439063016,-0.0524918253321793,0.0149793674546585,1,0.345915298853851,-0.0656782171264405,0.371926150140771,-0.0667959406747974,1
14,1769778443,21.2703833333333,-158.3028,1769794351,21.3238333333333,-158.304066666667,4.41888888888889,5.94481740115169,1002.52789803906,0.0215485629568801,0.0177693586177426,0.00469953751137933,0.0154778344796478,1,0.352643999301455,-0.0260314564771085,0.369493024746956,-0.0237399323390137,1
15,1769795186,21.3250166666667,-158.304416666667,1769811847,21.3694,-158.31205,4.62805555555556,4.99811857816792,999.269554066344,-0.0474934536248194,-0.00484672355307252,-0.0574412049657249,-0.00346153798706675,1,0.344160307529564,-0.0426753804959278,0.35410805887047,-0.0440605660619336,1
16,1769812493,21.36865,-158.312533333333,1769828709,21.41185,-158.306583333333,4.50444444444444,4.84296131741428,1006.57356987586,-0.0499836241261745,-0.00686789533869525,-0.0645944862804062,-0.0116344577739442,1,0.346668056825567,0.0449159669713654,0.361278918979799,0.0496825294066143,1
17,1769829961,21.4133,-158.311366666667,1769846195,21.4734333333333,-158.30385,4.50944444444444,6.73162624770715,1000.69702119906,NaN,NaN,NaN,NaN,4,0.342943988922872,0.0577553216163429,0.350563307650242,0.0627751907264671,1
18,1769846679,21.4736666666667,-158.3043,1769854165,21.5013,-158.303266666667,2.07944444444444,3.074545996562,511.993459156358,0.0197419084002955,-0.012343858412532,0.0336719796310722,-0.0178386187546129,1,0.39155980408713,0.0266552855307804,0.377629732856354,0.0321500458728613,1
19,1769854528,21.50055,-158.3031,1769861719,21.5224833333333,-158.299016666667,1.9975,2.47518703801746,508.89945388471,-0.0556040934954388,0.0368233383497227,-0.0488783367894271,0.0293177602013337,1,0.395462348574888,0.0220408993174738,0.388736591868876,0.0295464774658629,1
20,1769862591,21.5221666666667,-158.298433333333,1769870059,21.51835,-158.320833333333,2.07444444444444,2.35567422118301,507.073148803044,-0.0258949616923466,0.0575988201741269,-0.0338063282907587,0.0481427559021135,1,-0.0310504399864861,-0.368512499837271,-0.0231390733880739,-0.359056435565258,1
21,1769870671,21.5190333333333,-158.32185,1769878042,21.5251333333333,-158.349633333333,2.0475,2.95292097785829,510.765037130479,0.0811366942717734,-0.0267411848123118,0.0763623604425168,-0.0251000758119285,1,0.0110749688462037,-0.363966810010176,0.0158493026754603,-0.365607919010559,1
22,1769878042,21.5251333333333,-158.349633333333,1769895202,21.5044833333333,-158.400633333333,4.76666666666667,5.75382909341074,1000.7124400154,NaN,NaN,NaN,NaN,4,-0.2089208885504,-0.286524914163157,-0.199442803090439,-0.279532728745919,1
23,1769897111,21.5049,-158.39985,1769913413,21.5020666666667,-158.3412,4.52833333333333,6.07582329031791,999.956596034569,-0.0458242845107055,0.051205730065802,-0.0416568625893062,0.0443367261208544,1,0.0264682384563289,0.321575891263079,0.0223008165349296,0.328444895208027,1
24,1769913413,21.5020666666667,-158.3412,1769927405,21.54505,-158.361333333333,3.88666666666667,5.21355562384566,995.356212417523,NaN,NaN,NaN,NaN,4,0.226617731250977,-0.114776326378397,0.248921307532384,-0.12327273659234,1
25,1769928034,21.548,-158.362066666667,1769944179,21.5142666666667,-158.403133333333,4.48472222222222,5.6668532248945,1000.18381468716,0.0511520952986045,-0.0921452809623618,0.0514067511748598,-0.0902627749288177,1,-0.283843987292275,-0.171364243076868,-0.28409864316853,-0.173246749110412,1
26,1769944841,21.5125,-158.403033333333,1769958753,21.4776833333333,-158.41265,3.86444444444444,3.99724296901981,992.082794950748,-0.0580706894800392,0.00720375454641725,-0.0517756670714,0.00792289720815518,1,-0.220662344283186,-0.0788376172820228,-0.226957366691825,-0.0795567599437607,1
27,1769959159,21.4772666666667,-158.413683333333,1769971832,21.5219333333333,-158.4162,3.52027777777778,4.97352670056215,998.194848515158,0.0877883867680534,0.00985824030115086,0.0740101430478422,0.00619896923611717,1,0.304776622838681,-0.0304376463750273,0.318554866558892,-0.0267783753099936,1
28,1769972331,21.5227833333333,-158.417533333333,1769992178,21.4855833333333,-158.417066666667,5.51305555555556,4.13673300669921,991.285819635976,-0.0186864903444309,-0.0455947076456557,-0.00962332380789091,-0.0498219951393246,1,-0.190037333242123,0.0480308422073353,-0.199100499778663,0.0522581297010042,1
29,1769992983,21.48455,-158.416883333333,1770013346,21.46795,-158.38945,5.65638888888889,3.3860096183885,992.352756956742,0.0325248587972523,-0.0230842721650377,0.031343882208534,-0.0207579790359076,1,-0.123304435781869,0.162691344148753,-0.122123459193151,0.160365051019623,1
30,1770013971,21.47055,-158.391283333333,1770033990,21.4531333333333,-158.379783333333,5.56083333333333,2.27307579558358,989.466656109323,0.0707955898837327,-0.0548313686600196,0.068204267540165,-0.0503070169938616,1,-0.168306415469571,0.114752134767967,-0.165715093126003,0.110227783101809,1
31,1770034796,21.4518666666667,-158.37835,1770053885,21.4197666666667,-158.355616666667,5.3025,4.27513762215594,992.723613997235,-0.00746240141417715,0.00388246245885382,-0.00500541558790189,0.00210730282393541,1,-0.179800899249489,0.11956438022485,-0.182257885075764,0.121339539859769,1
32,1770054751,21.4223833333333,-158.357,1770075336,21.39745,-158.326116666667,5.71805555555556,4.23177795079605,992.536078339536,0.0208379435142108,0.00745180714674212,0.0169644750443223,0.0170198684932641,1,-0.155717983916622,0.148086642341115,-0.151844515446733,0.138518580994593,1
33,1770076468,21.3979333333333,-158.3231,1770096474,21.3619333333333,-158.3045,5.55722222222222,4.44221000189778,992.995877694588,-0.0146872374477721,-0.0160658386468136,-0.0222742350646697,-0.00825293407516362,1,-0.185697389456168,0.112473187171738,-0.17811039183927,0.104660282600088,1
34,1770097257,21.3633166666667,-158.304116666667,1770117694,21.3421166666667,-158.2741,5.67694444444444,3.9013263780093,989.184715984937,0.0368464503553475,-0.00255254639006155,0.0288083154292562,0.00336344712497087,1,-0.153095731119073,0.155849272106239,-0.145057596192982,0.149933278591206,1
35,1770117694,21.3421166666667,-158.2741,1770139531,21.30645,-158.25575,6.06583333333333,4.39790474395245,991.177530974794,NaN,NaN,NaN,NaN,4,-0.172459705263948,0.0945274551260227,-0.164460915154765,0.0916336805658758,1
36,1770139990,21.30595,-158.256133333333,1770160686,21.2891,-158.22845,5.74888888888889,3.42579389660277,992.254351413266,0.034263026296777,-0.0042822549956998,0.0325999062083153,-0.00280273979291715,1,-0.124926425035563,0.143063184742537,-0.123263304947101,0.141583669539754,1
37,1770161871,21.2894833333333,-158.230066666667,1770183515,21.25025,-158.2151,6.01222222222222,4.63000769176669,992.574629470452,-0.0331850671492171,-0.0169775815064169,-0.03984992129264,-0.0129220370841385,1,-0.168665114251542,0.0887338772998598,-0.162000260108119,0.0846783328775814,1
38,1770184558,21.2479833333333,-158.215666666667,1770205117,21.2476333333333,-158.182033333333,5.71083333190918,3.48584435335298,991.470960733735,0.0457738231716101,-0.0233261885396214,0.0450486666234877,-0.0205346509164004,1,-0.0476695922240634,0.193116668381843,-0.0469444356759411,0.190325130758622,1
