time,time_utc,latitude,longitude,depth,conductivity,temperature,pressure,salinity,density,potential_temperature,potential_density
1769744341,2026-01-30 03:39:01.831000064,21.215672675762317,-158.32989817328405,518.5365562297023,3.4595398902893066,6.775000095367432,522.4200057983398,34.20939164221524,1029.0842259911474,6.726456397744565,1026.8399230290509
1769744343,2026-01-30 03:39:03.831000064,21.215678520343037,-158.3298974731811,518.843847156216,3.459089994430542,6.768799781799316,522.7299880981445,34.21044748114962,1029.0873631411907,6.720249801776494,1026.841593020185
1769744345,2026-01-30 03:39:05.831000064,21.215685158801836,-158.32989667646206,519.1709908453762,3.4586400985717773,6.764100074768066,523.0599975585938,34.21000415173693,1029.0892038345246,6.715537215914262,1026.8418807305297
1769744347,2026-01-30 03:39:07.831000064,21.21569107359542,-158.32989605597297,519.5179494363293,3.4582700729370117,6.758500099182129,523.4099960327148,34.21132346951987,1029.0926388982841,6.709924561102422,1026.8436787646267
1769744349,2026-01-30 03:39:09.831000064,21.215696057962294,-158.32989566206524,519.8847228361021,3.4582600593566895,6.758200168609619,523.7799835205078,34.21133333395837,1029.0943679781203,6.709590146958798,1026.8437372244796
1769744351,2026-01-30 03:39:11.831000064,21.215701333240684,-158.32989530311482,520.2713487153476,3.458019971847534,6.756100177764893,524.1699981689453,34.21058876081371,1029.095864665052,6.707461502099384,1026.8434416419757
1769744353,2026-01-30 03:39:13.831000064,21.215706984071396,-158.32989498929248,520.6480662165587,3.457900047302246,6.753600120544434,524.5500183105469,34.21156844470859,1029.0987166956538,6.704933920650219,1026.8445586783525
1769744355,2026-01-30 03:39:15.831000064,21.215712433289173,-158.32989474624765,520.9950223446036,3.4578700065612793,6.753799915313721,524.900016784668,34.2108713949219,1029.099731659398,6.705099772218207,1026.8439924592606
1769744357,2026-01-30 03:39:17.831000064,21.215717621174022,-158.32989459494533,521.3221248625214,3.4578700065612793,6.753399848937988,525.2299880981445,34.21111009053278,1029.1014720893304,6.704669295338764,1026.8442435443392
1769744359,2026-01-30 03:39:19.831000064,21.21572314413788,-158.32989447549858,521.6294494756706,3.457819938659668,6.752600193023682,525.5400085449219,34.211204069570464,1029.103068029357,6.703842860226054,1026.8444332576648
1769744361,2026-01-30 03:39:21.831000064,21.215729104094144,-158.32989439759618,521.9466433841674,3.4577600955963135,6.752699851989746,525.8599853515625,34.21029287485368,1029.1037948769872,6.703912043515347,1026.8437106801896
1769744363,2026-01-30 03:39:23.831000064,21.215734808591456,-158.32989440546302,522.2638746295958,3.457740068435669,6.750899791717529,526.1800003051758,34.21170584467697,1029.106609416753,6.702087125646904,1026.8450741698368
1769744365,2026-01-30 03:39:25.831000064,21.21574017445723,-158.32989452702395,522.6108280496843,3.4576499462127686,6.75029993057251,526.5299987792969,34.21114143770291,1029.1078448574037,6.701456392984815,1026.8447192121534
1769744367,2026-01-30 03:39:27.831000064,21.215745319490978,-158.3298947443979,522.9775959595066,3.456979990005493,6.742800235748291,526.8999862670898,34.211035807633706,1029.1105396145326,6.693951010980973,1026.845646638876
1769744369,2026-01-30 03:39:29.831000064,21.21575017059681,-158.32989508929913,523.3543085574786,3.4567298889160156,6.73829984664917,527.2800064086914,34.21256879752644,1029.11411529988,6.689430683380106,1026.8474662145907
1769744371,2026-01-30 03:39:31.831000064,21.215755760293256,-158.32989549898238,523.7111676380345,3.4566400051116943,6.737400054931641,527.6399993896484,34.21229982566882,1029.1156699404246,6.688500041207767,1026.8473843649613
1769744373,2026-01-30 03:39:33.831000064,21.215762339096393,-158.3298959954205,524.0581185908163,3.456549882888794,6.736100196838379,527.9899978637695,34.21243030104061,1029.1175487921132,6.687171561938119,1026.84767050439
1769744375,2026-01-30 03:39:35.831000064,21.21576883723395,-158.32989653422325,524.375346571719,3.456549882888794,6.7357001304626465,528.3100128173828,34.21267385135751,1029.1192478544792,6.686742076618833,1026.8479250537532
1769744377,2026-01-30 03:39:37.831000064,21.21577522690328,-158.3298971299924,524.6826288049507,3.456510066986084,6.7357001304626465,528.6199951171875,34.21208657363747,1029.1201961346267,6.686712720051424,1026.8474708616498
1769744379,2026-01-30 03:39:39.831000064,21.215780745583185,-158.32989773166207,524.9899484246894,3.456480026245117,6.734799861907959,528.9300155639648,34.212500916187125,1029.1220561087146,6.685785852759827,1026.847926438099
1769744381,2026-01-30 03:39:41.831000064,21.215785085865974,-158.32989834131482,525.3269520717137,3.456470012664795,6.734399795532227,529.2699813842773,34.21262464313933,1029.12375234146,6.685354548188637,1026.8480870677151
1769744383,2026-01-30 03:39:43.831000064,21.215789876986584,-158.3298989765648,525.6838455893411,3.456170082092285,6.732800006866455,529.630012512207,34.210738092759634,1029.1241506887043,6.6837280807008135,1026.8468228523343
1769744385,2026-01-30 03:39:45.831000064,21.215795280566052,-158.3298996465884,526.0407006567151,3.4558401107788086,6.7266998291015625,529.9900054931641,34.212989982643805,1029.1284292925743,6.677615802491096,1026.849421257412
