start_time,end_time,Latitude,Longitude
2026-02-06 13:58:10.440000000,2026-02-06 14:07:57.049999872,21.30440166606352,-158.24302333333634
2026-02-06 16:57:39.039000064,2026-02-06 17:24:14.064000000,21.32164999939893,-158.26239166666963
2026-02-06 20:40:22.820000000,2026-02-06 20:50:38.071000064,21.34571999940183,-158.28092666666947
2026-02-07 00:09:02.528999936,2026-02-07 00:18:58.064999936,21.3740583327386,-158.29850166666944
2026-02-07 03:37:27.753999872,2026-02-07 03:48:35.052000000,21.389243332740428,-158.31827666666933
2026-02-07 07:06:47.112999936,2026-02-07 07:23:14.043000064,21.404971666075653,-158.3393250000026
2026-02-07 10:40:50.920000000,2026-02-07 10:50:31.083000064,21.43183666607892,-158.35973500000253
2026-02-07 14:05:43.555000064,2026-02-07 14:16:27.073999872,21.45817499941544,-158.38068500000244
2026-02-07 17:34:06.717999872,2026-02-07 17:48:28.066999808,21.466401666083097,-158.3975683333357
2026-02-07 21:02:15.242000128,2026-02-07 21:12:03.048000000,21.48777333275234,-158.40974500000237
2026-02-08 00:32:51.155000064,2026-02-08 00:47:08.056000000,21.50409666608768,-158.41532833333565
2026-02-08 04:06:31.257999872,2026-02-08 04:24:02.084999936,21.48066999941816,-158.4047833333357
2026-02-08 06:57:24.345999872,2026-02-08 07:07:28.064000000,21.46170999941585,-158.39024500000244
2026-02-08 09:40:04.114000128,2026-02-08 09:50:49.046000128,21.45365833274822,-158.3780283333358
2026-02-08 12:20:27.988000000,2026-02-08 12:29:47.032000000,21.44767999941416,-158.37300666666914
2026-02-08 14:59:44.116000000,2026-02-08 15:09:48.063000064,21.435979999412734,-158.36466166666918
2026-02-08 17:44:57.544000000,2026-02-08 17:55:41.068000000,21.419608332744087,-158.34670833333593
2026-02-08 20:25:41.043000064,2026-02-08 20:38:05.098000128,21.40345666607548,-158.33373000000265
2026-02-08 22:48:27.812999936,2026-02-08 23:06:44.064999936,21.393028332740883,-158.322023333336
2026-02-09 03:09:29.787000064,2026-02-09 03:26:22.188000000,21.38762166607356,-158.32223666666934
2026-02-09 07:09:06.338000128,2026-02-09 07:24:50.056000000,21.415226666076894,-158.3456600000026
2026-02-09 10:05:28.272000000,2026-02-09 10:17:25.065999872,21.441268332746716,-158.36816500000245
2026-02-09 12:57:03.964000000,2026-02-09 13:07:39.042000128,21.4715833327504,-158.39601166666904
2026-02-09 15:47:16.506000128,2026-02-09 16:11:32.076999936,21.49770666608689,-158.42251833333555
2026-02-09 18:53:51.275000064,2026-02-09 19:06:21.062000128,21.484424999418625,-158.4073150000023
2026-02-09 21:24:49.937999872,2026-02-09 21:35:58.224000000,21.470503332750265,-158.39038666666906
2026-02-10 00:00:22.290999808,2026-02-10 00:09:53.063000064,21.456438332748554,-158.37790333333584
2026-02-10 02:35:58.158999808,2026-02-10 02:46:38.056000000,21.44198499941348,-158.36489500000252
2026-02-10 05:12:22.216000000,2026-02-10 05:25:32.053999872,21.425848332744856,-158.35088333333593
