root:2026-08-13 13:38:49:INFO:Beginning scheduled processing [line 16]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.16.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0016.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.17.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0017.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.18.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0018.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.19.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0019.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.20.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0020.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.21.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0021.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.22.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0022.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.23.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0023.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.24.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0024.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.25.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0025.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.26.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0026.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.27.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0027.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.28.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0028.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.29.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0029.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.30.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0030.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.31.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0031.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.32.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0032.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.33.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0033.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.34.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0034.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.35.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0035.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.36.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0036.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.37.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0037.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.38.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0038.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.39.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0039.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.40.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0040.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.41.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0041.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.42.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0042.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.43.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0043.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.44.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0044.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.45.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0045.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.46.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0046.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.47.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0047.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.48.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0048.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.49.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0049.parquet [line 137]
