profile_index,profile_direction,profile_phase,start_time,end_time,start_depth,end_depth,min_depth,max_depth,depth_range,min_lon,max_lon,min_lat,max_lat,distance_traveled,num_points,time_at_surface_s,profile_duration_s
129.5,0.0,inflection,2026-02-06 17:10:14.980999936,2026-02-06 17:10:14.980999936,525.7807006835938,525.7807006835938,525.7807006835938,525.7807006835938,0.0,-158.33579061855167,-158.33579061855167,21.413358817408586,21.413358817408586,0.0,1,0,0.0
130.0,-1.0,ascent,2026-02-06 17:10:15.416000000,2026-02-06 18:02:58.559000064,525.7509155273438,0.03779999911785126,0.03779999911785126,525.7509155273438,525.7131155282259,-158.34184654257703,-158.33578939896773,21.413340419299903,21.4198634245803,,3949,88,3163.143000064
130.5,0.0,surfacing,2026-02-06 18:02:59.285000192,2026-02-06 18:24:38.013999872,0.018699999898672104,0.05480000004172325,0.0,0.12639999389648438,0.12639999389648438,-158.3410750000026,-158.3410500000026,21.419488332744088,21.420896666077585,,473,1298,1298.72899968
131.0,1.0,descent,2026-02-06 18:24:39.003000064,2026-02-06 19:57:07.380000000,0.06419999897480011,558.0198974609375,0.06419999897480011,558.0198974609375,557.9556974619627,-158.34690223934044,-158.3410500000026,21.42088499941092,21.426791868604724,,6930,48,5548.376999936
131.5,0.0,inflection,2026-02-06 19:57:08.191000064,2026-02-06 20:07:36.355000064,558.0374755859375,559.2545776367188,557.9254150390625,559.2545776367188,1.32916259765625,-158.34623739953162,-158.346126541757,21.42637387334196,21.426571337790037,,783,0,628.164
132.0,-1.0,ascent,2026-02-06 20:07:36.536999936,2026-02-06 21:02:33.368000000,559.2191772460938,0.023600000888109207,0.023600000888109207,559.2191772460938,559.1955772452056,-158.3525284565054,-158.3461236660145,21.42622493006761,21.437024999412877,,4118,104,3296.831000064
132.5,0.0,surfacing,2026-02-06 21:02:33.984000000,2026-02-06 21:20:51.012999936,0.008799999952316284,0.07289999723434448,0.0,0.11649999767541885,0.11649999767541885,-158.35351500000252,-158.35179833333586,21.437048332746212,21.4410283327467,,576,1097,1097.028999936
133.0,1.0,descent,2026-02-06 21:20:52.008000000,2026-02-06 22:30:45.155000064,0.09470000118017197,711.0847778320312,0.09470000118017197,711.0847778320312,710.9900778308511,-158.36087975522202,-158.35351000000256,21.44102594674128,21.447681369986547,,5237,44,4193.147000064
134.0,1.0,descent,2026-02-06 22:30:46.155000064,2026-02-06 22:30:48.155000064,,,,,,,,,,,3,0,2.0
134.5,0.0,inflection,2026-02-06 22:30:48.490000128,2026-02-06 22:30:48.490000128,711.1033935546875,711.1033935546875,711.1033935546875,711.1033935546875,0.0,-158.36063867238212,-158.36063867238212,21.44768250949879,21.44768250949879,0.0,1,0,0.0
135.0,-1.0,ascent,2026-02-06 22:30:49.155000064,2026-02-06 23:34:26.137000192,711.057373046875,0.9088000059127808,0.9088000059127808,711.057373046875,710.1485730409622,-158.3700043628484,-158.36065019239538,21.44768488020395,21.455849793636357,,4769,44,3816.982000128
135.5,0.0,surfacing,2026-02-06 23:34:26.832000000,2026-02-07 00:04:05.017999872,0.024900000542402267,0.058400001376867294,0.0,0.14990000426769257,0.14990000426769257,-158.3743316666691,-158.3742016666691,21.459531666082277,21.467474999416574,,1132,1778,1778.185999872
136.0,1.0,descent,2026-02-07 00:04:05.654000128,2026-02-07 01:52:15.438999808,0.07249999791383743,723.3964233398438,0.07249999791383743,723.3964233398438,723.3239233419299,-158.3875736900995,-158.3742133333358,21.46745499941657,21.478375110256746,,8105,64,6489.78499968
136.5,0.0,inflection,2026-02-07 01:52:15.729000192,2026-02-07 01:57:31.905999872,723.4216918945312,723.2548828125,723.2301025390625,723.6674194335938,0.43731689453125,-158.38769022088388,-158.3875750524946,21.478377898398648,21.478612904292504,,395,0,316.17699968
137.0,-1.0,ascent,2026-02-07 01:57:32.483000064,2026-02-07 03:23:21.720999936,723.2459716796875,2.692500114440918,2.692500114440918,723.2459716796875,720.5534715652466,-158.40044024946508,-158.387691504574,21.4786155297205,21.487901952745474,,6428,16,5149.237999872
137.5,0.0,surfacing,2026-02-07 03:23:21.840000000,2026-02-07 03:38:45.019000064,2.6003000736236572,0.06870000064373016,0.0,2.7228000164031982,2.7228000164031982,-158.39555166666906,-158.39263000000236,21.48308666608513,21.484743332751986,,583,923,923.179000064
138.0,1.0,descent,2026-02-07 03:38:46.000999936,2026-02-07 05:45:31.980000000,0.11159999668598175,741.7225952148438,0.11159999668598175,741.7225952148438,741.6109952181578,-158.40441193111153,-158.3925183333357,21.484731666085327,21.49257423339826,,9496,60,7605.979000064
138.5,0.0,inflection,2026-02-07 05:45:32.948999936,2026-02-07 05:45:32.948999936,741.7423706054688,741.7423706054688,741.7423706054688,741.7423706054688,0.0,-158.4043587935952,-158.4043587935952,21.492575479243683,21.492575479243683,0.0,1,0,0.0
139.0,-1.0,ascent,2026-02-07 05:45:32.980000000,2026-02-07 07:19:12.144000000,741.7122802734375,2.8745999336242676,2.8745999336242676,741.7122802734375,738.8376803398132,-158.41613949480427,-158.40435807393794,21.49251326077718,21.499509512117864,,7019,20,5619.164
139.5,0.0,surfacing,2026-02-07 07:19:12.920000000,2026-02-07 07:33:25.020000000,2.8046998977661133,0.0925000011920929,0.012600000016391277,2.8994998931884766,2.8868998931720853,-158.41538166666896,-158.41397166666897,21.49288499941965,21.49329333275303,,544,852,852.1
140.0,1.0,descent,2026-02-07 07:33:25.744000000,2026-02-07 09:27:56.288999936,0.23109999299049377,731.9453735351562,0.23109999299049377,731.9453735351562,731.7142735421658,-158.418882576693,-158.4139302350909,21.493271666086365,21.500471849005763,,8578,48,6870.544999936
