time,longitude,latitude
2026-01-31T00:19:38.499765Z,-158.3187802,21.3463565
2026-01-31T00:27:59.999736Z,-158.31864779999998,21.345978
2026-01-31T01:55:54.999591Z,-158.3259508,21.3598279
2026-01-31T03:23:39.000145Z,-158.3234357,21.3708419
2026-01-31T04:50:45.988772Z,-158.3181897,21.376867999999998
2026-01-31T06:19:29.999681Z,-158.31084859999999,21.3776366
2026-01-31T06:36:38.000184Z,-158.3105774,21.380582
2026-01-31T07:52:05.000415Z,-158.31656479999998,21.403197199999997
2026-01-31T09:06:39.999916Z,-158.311733,21.4205096
2026-01-31T10:22:10.999950Z,-158.3052262,21.435022
2026-01-31T11:37:06.999969Z,-158.3082326,21.446804099999998
2026-01-31T13:05:34.990825Z,-158.308115,21.4587857
2026-01-31T14:18:30.000014Z,-158.3129557,21.4736859
2026-01-31T14:21:10.000010Z,-158.31326479999998,21.4737509
2026-01-31T15:37:51.999704Z,-158.315487,21.4919291
2026-01-31T15:39:03.999704Z,-158.31563069999999,21.4921301
2026-01-31T18:04:22.500488Z,-158.30961259999998,21.5297777
2026-01-31T18:06:13.000487Z,-158.3098209,21.5301066
2026-01-31T20:30:50.983573Z,-158.33875419999998,21.5186866
2026-01-31T20:33:06.988570Z,-158.33876329999998,21.5187129
2026-01-31T22:00:08.999599Z,-158.3497116,21.5079003
2026-01-31T23:30:52.999599Z,-158.36105709999998,21.504836299999997
2026-02-01T02:02:08.500405Z,-158.3860468,21.5095954
2026-02-01T02:04:04.000402Z,-158.3861095,21.50958
2026-02-01T04:31:55.000166Z,-158.42276619999998,21.521155399999998
2026-02-01T04:34:54.000161Z,-158.4225516,21.5214604
2026-02-01T07:08:16.000360Z,-158.4266288,21.509889899999997
2026-02-01T09:37:10.964713Z,-158.4134062,21.493029999999997
2026-02-01T12:05:59.999642Z,-158.38462189999998,21.4785203
2026-02-01T12:07:39.999640Z,-158.3846355,21.4782415
2026-02-01T14:35:51.993887Z,-158.3776206,21.4927519
2026-02-01T14:37:06.999886Z,-158.3777397,21.492703199999998
2026-02-01T17:09:35.000023Z,-158.4144862,21.5200899
2026-02-01T19:56:20.000473Z,-158.4255895,21.508053699999998
2026-02-01T19:57:45.000337Z,-158.4260392,21.508075299999998
2026-02-01T19:59:13.000037Z,-158.4262688,21.508371699999998
2026-02-01T20:08:40.999649Z,-158.42767659999998,21.5094924
2026-02-01T20:12:34.999626Z,-158.4283132,21.5099977
2026-02-02T00:10:08.000003Z,-158.4198489,21.4766652
2026-02-02T00:13:50.999995Z,-158.4198338,21.4761907
2026-02-02T04:08:07.999838Z,-158.4095748,21.4699459
2026-02-02T04:12:11.999829Z,-158.4099503,21.470342
2026-02-02T05:29:25.999864Z,-158.4085017,21.4826308
2026-02-02T05:35:04.999915Z,-158.4095015,21.483793799999997
2026-02-02T05:41:18.999807Z,-158.41060109999998,21.485101099999998
2026-02-02T05:48:09.999600Z,-158.4118426,21.4870943
2026-02-02T08:00:59.999675Z,-158.41815889999998,21.4996524
2026-02-02T08:05:48.999664Z,-158.4184896,21.5009217
2026-02-02T09:09:31.999647Z,-158.4180266,21.5024867
2026-02-02T10:10:46.000200Z,-158.4170004,21.4982127
2026-02-02T11:13:42.000111Z,-158.4141039,21.4901266
2026-02-02T11:17:11.000104Z,-158.4138074,21.4897191
2026-02-02T12:21:34.000094Z,-158.40784309999998,21.4816267
2026-02-02T13:21:28.000273Z,-158.40201249999998,21.476119
2026-02-02T13:26:12.000262Z,-158.4016125,21.475606199999998
2026-02-02T14:29:08.000236Z,-158.3956752,21.4720244
2026-02-02T14:30:41.000235Z,-158.3955277,21.472034
2026-02-02T18:01:49.999935Z,-158.3885014,21.470406
2026-02-02T21:29:33.999858Z,-158.3822717,21.483440899999998
2026-02-02T21:34:37.999845Z,-158.3820601,21.4838539
2026-02-03T00:49:08.000346Z,-158.3610889,21.4472536
2026-02-03T00:51:54.000341Z,-158.3609313,21.4469274
2026-02-03T02:30:22.000340Z,-158.3548902,21.424509
2026-02-03T04:19:36.964415Z,-158.3471711,21.423399099999997
2026-02-03T05:53:38.016086Z,-158.3455736,21.424849
2026-02-03T05:59:38.000069Z,-158.3458393,21.4258193
2026-02-03T07:35:19.000201Z,-158.34534979999998,21.431323
2026-02-03T07:36:50.000199Z,-158.3454323,21.4315177
2026-02-03T09:12:15.970416Z,-158.34470349999998,21.4326933
2026-02-03T09:15:02.000411Z,-158.34477239999998,21.432812
2026-02-03T12:26:38.500288Z,-158.33142229999999,21.4118727
2026-02-03T12:29:33.000284Z,-158.3312456,21.4112136
2026-02-03T15:36:38.000439Z,-158.3138358,21.3747924
2026-02-03T15:38:36.000436Z,-158.3138601,21.3744554
2026-02-03T18:44:35.999574Z,-158.2950368,21.3704268
2026-02-03T20:35:22.999588Z,-158.29473959999999,21.3725287
2026-02-03T21:15:40.999848Z,-158.29605139999998,21.3749823
2026-02-03T21:21:21.000361Z,-158.296799,21.3750298
2026-02-03T23:15:19.999506Z,-158.29349499999998,21.3743977
2026-02-04T01:01:20.998776Z,-158.2905611,21.366627299999998
2026-02-04T01:04:30.995770Z,-158.2905534,21.3664247
2026-02-04T02:43:54.999822Z,-158.2843427,21.3544144
2026-02-04T04:12:51.999776Z,-158.2782679,21.3467163
2026-02-04T05:36:59.999727Z,-158.2731734,21.3432599
2026-02-04T05:39:15.999723Z,-158.27330279999998,21.3434453
2026-02-04T07:02:51.997380Z,-158.2689087,21.342814
2026-02-04T07:06:25.026372Z,-158.2691008,21.3430541
2026-02-04T08:33:12.000328Z,-158.2691023,21.3427603
2026-02-04T09:58:09.995223Z,-158.2691299,21.3422505
2026-02-04T11:20:28.996333Z,-158.2668157,21.339860899999998
2026-02-04T11:21:34.000333Z,-158.26679489999998,21.3399276
2026-02-04T12:45:06.000408Z,-158.26197449999998,21.3325785
2026-02-04T14:09:28.000052Z,-158.25825799999998,21.3205225
2026-02-04T15:49:42.989988Z,-158.2524987,21.31101
2026-02-04T15:51:28.996985Z,-158.2526825,21.311043299999998
2026-02-04T17:15:53.000139Z,-158.2473985,21.307087199999998
2026-02-04T17:18:14.000134Z,-158.2476064,21.3076142
2026-02-04T18:36:20.000406Z,-158.2440737,21.3043895
2026-02-04T19:02:29.999556Z,-158.2436444,21.3035782
2026-02-04T19:07:56.999923Z,-158.2437668,21.304233
2026-02-04T19:13:18.000293Z,-158.24394329999998,21.3053408
2026-02-04T19:18:55.000157Z,-158.2444914,21.3054544
2026-02-04T19:24:57.000321Z,-158.2448136,21.3057667
2026-02-04T19:30:36.999926Z,-158.2450606,21.3062859
2026-02-04T20:49:44.999933Z,-158.2451121,21.305904299999998
2026-02-04T22:09:08.499705Z,-158.2458484,21.307562
2026-02-04T22:13:30.999695Z,-158.2464368,21.3081615
2026-02-04T23:32:09.000435Z,-158.2456063,21.3096913
2026-02-04T23:34:40.000431Z,-158.2457546,21.3100305
2026-02-05T00:51:31.000190Z,-158.2423077,21.3087102
2026-02-05T00:52:44.000189Z,-158.2423976,21.3089075
2026-02-05T02:09:51.999812Z,-158.2388014,21.3016784
2026-02-05T03:21:48.999873Z,-158.2348859,21.2935239
2026-02-05T04:38:00.000322Z,-158.22908619999998,21.286977099999998
2026-02-05T05:48:22.000048Z,-158.22301249999998,21.279776899999998
2026-02-05T05:53:33.000033Z,-158.22310299999998,21.2802225
2026-02-05T07:25:00.000424Z,-158.2189195,21.276535499999998
2026-02-05T07:27:44.000419Z,-158.21901599999998,21.2765681
2026-02-05T08:55:52.978778Z,-158.21263729999998,21.2738892
2026-02-05T10:11:08.000094Z,-158.2074448,21.268058999999997
2026-02-05T10:12:21.000092Z,-158.2078017,21.2680212
2026-02-05T11:24:12.999717Z,-158.2010559,21.2624828
2026-02-05T11:25:25.999716Z,-158.2010297,21.262578299999998
2026-02-05T12:39:08.999880Z,-158.1938757,21.256115899999998
2026-02-05T13:50:29.000370Z,-158.1884392,21.2493811
2026-02-05T13:52:02.000369Z,-158.1885864,21.249655999999998
2026-02-05T15:03:00.999750Z,-158.1850763,21.241439399999997
2026-02-05T15:05:11.999746Z,-158.1853874,21.241763
2026-02-05T16:18:30.999737Z,-158.1798666,21.2337788
2026-02-05T18:42:38.499843Z,-158.16373099999998,21.2364067
2026-02-05T18:46:24.000388Z,-158.1639959,21.2367269
2026-02-05T18:51:46.000067Z,-158.1642704,21.2371811
2026-02-05T18:54:56.000328Z,-158.1645113,21.237499
2026-02-05T18:56:24.999745Z,-158.164562,21.2376853
2026-02-05T19:01:48.999913Z,-158.16495319999999,21.2381056
2026-02-05T19:06:50.000168Z,-158.1652899,21.238453099999997
2026-02-05T21:28:54.999650Z,-158.2053166,21.2667221
2026-02-05T21:30:29.999648Z,-158.2054805,21.2668347
2026-02-05T23:10:50.986650Z,-158.2271269,21.286162599999997
2026-02-05T23:12:28.999649Z,-158.2273787,21.2864365
2026-02-06T02:02:14.999676Z,-158.2552447,21.3258051
2026-02-06T03:43:29.999638Z,-158.2498627,21.3174878
2026-02-06T03:48:54.999622Z,-158.24983799999998,21.3177928
2026-02-06T06:33:22.000028Z,-158.2793217,21.3445701
2026-02-06T08:16:46.011054Z,-158.2918369,21.3665667
2026-02-06T11:04:09.000274Z,-158.33065009999999,21.3976974
