dive_index,start_time,end_time,duration_s,start_latitude,start_longitude,end_latitude,end_longitude,distance_m,max_depth_m,num_yos,end_battery_capacity,batteryPercent,batteryVoltage,diskSpaceRemainingMb,diskSpaceRemainingPercent
66,2026-01-30T14:02:58.000000Z,2026-01-30T16:52:13.700000Z,10155.7,21.270876,-158.32639,21.28118,-158.31181,1896.06,200.489,3,19679,93.0,3553.0,55692.0,99.0
67,2026-01-30T16:53:04.000000Z,2026-01-30T18:21:34.000000Z,5310.0,21.281116,-158.3118,21.284077,-158.32903,1815.34,190.4,2,19639,93.0,3553.0,55683.0,99.0
68,2026-01-30T18:23:17.000000Z,2026-01-30T19:47:07.799999Z,5030.8,21.284098,-158.32909,21.30096,-158.3246,1931.81,190.491,2,19588,93.0,3550.0,55674.0,99.0
69,2026-01-30T19:53:35.000000Z,2026-01-30T21:21:52.099999Z,5297.1,21.30102,-158.32387,21.321648,-158.31305,2552.94,176.2,3,19512,93.0,3550.0,55662.0,99.0
70,2026-01-30T21:25:12.000000Z,2026-01-30T22:51:17.900000Z,5165.9,21.321594,-158.31268,21.3353,-158.31242,1524.28,176.603,3,19520,93.0,3553.0,55653.0,99.0
71,2026-01-30T22:52:34.000000Z,2026-01-31T00:19:04.200000Z,5190.2,21.335207,-158.31232,21.346357,-158.31879,1409.33,177.784,3,19481,92.0,3553.0,55643.0,99.0
72,2026-01-31T00:28:00.000000Z,2026-01-31T01:54:39.400000Z,5199.4,21.345978,-158.31865,21.359867,-158.32582,1713.62,176.264,3,19438,92.0,3555.0,55633.0,99.0
73,2026-01-31T01:55:55.000000Z,2026-01-31T03:22:24.599999Z,5189.6,21.359827,-158.32596,21.370842,-158.32327,1256.09,176.484,3,19399,92.0,3558.0,55623.0,99.0
74,2026-01-31T03:23:39.000000Z,2026-01-31T04:50:00.000000Z,5181.0,21.370842,-158.32344,21.376705,-158.31812,853.51,176.218,3,19348,92.0,3558.0,55614.0,99.0
75,2026-01-31T04:50:45.799999Z,2026-01-31T06:18:54.099999Z,5288.3,21.376867,-158.31819,21.377636,-158.31085,764.81,176.255,3,19324,92.0,3555.0,55604.0,99.0
76,2026-01-31T06:36:38.000000Z,2026-01-31T07:51:12.299999Z,4474.3,21.380583,-158.31058,21.403124,-158.31668,2584.79,201.661,2,19278,91.0,3555.0,55594.0,99.0
77,2026-01-31T09:06:40.000000Z,2026-01-31T10:20:51.599999Z,4451.6,21.42051,-158.31174,21.435148,-158.30525,1760.85,201.176,2,19211,91.0,3553.0,55577.0,99.0
78,2026-01-31T10:22:11.000000Z,2026-01-31T11:36:09.900000Z,4438.9,21.435022,-158.30522,21.446783,-158.30821,1343.88,201.276,2,19180,91.0,3550.0,55569.0,99.0
79,2026-01-31T11:37:07.000000Z,2026-01-31T13:04:39.599999Z,5252.6,21.446804,-158.30823,21.458815,-158.30814,1335.59,192.176,2,19142,91.0,3555.0,55560.0,99.0
80,2026-01-31T13:05:35.000000Z,2026-01-31T14:18:02.099999Z,4347.1,21.458786,-158.30812,21.473686,-158.31296,1730.85,202.329,2,19046,91.0,3555.0,55552.0,99.0
81,2026-01-31T14:21:10.000000Z,2026-01-31T15:37:40.799999Z,4590.8,21.473751,-158.31326,21.49193,-158.31549,2034.54,201.578,2,19073,90.0,3553.0,55543.0,99.0
82,2026-01-31T15:39:04.000000Z,2026-01-31T18:03:35.000000Z,8671.0,21.49213,-158.31563,21.529778,-158.30962,4232.18,200.461,4,19001,90.0,3553.0,55528.0,99.0
83,2026-01-31T18:06:13.000000Z,2026-01-31T20:30:30.900000Z,8657.9,21.530107,-158.30981,21.518686,-158.33876,3252.75,200.489,4,18936,90.0,3553.0,55512.0,99.0
84,2026-01-31T20:33:07.000000Z,2026-01-31T21:58:56.099999Z,5149.1,21.518713,-158.33876,21.507978,-158.34976,1649.17,190.418,2,18870,90.0,3558.0,55504.0,99.0
85,2026-01-31T22:00:09.000000Z,2026-01-31T23:29:21.299999Z,5352.3,21.5079,-158.34972,21.504845,-158.3611,1225.33,190.381,2,18866,90.0,3560.0,55494.0,99.0
86,2026-01-31T23:30:53.000000Z,2026-02-01T02:01:28.599999Z,9035.6,21.504837,-158.36105,21.509596,-158.38605,2639.9,200.333,4,18798,89.0,3558.0,55479.0,99.0
87,2026-02-01T02:04:04.000000Z,2026-02-01T04:31:06.500000Z,8822.5,21.50958,-158.38611,21.521156,-158.42276,4003.87,200.342,4,18732,89.0,3555.0,55463.0,99.0
88,2026-02-01T04:34:54.000000Z,2026-02-01T07:06:48.299999Z,9114.3,21.52146,-158.42255,21.50988,-158.42668,1356.66,200.342,4,18669,89.0,3558.0,55447.0,99.0
89,2026-02-01T07:08:16.000000Z,2026-02-01T09:35:56.900000Z,8860.9,21.50989,-158.42664,21.493303,-158.41331,2302.96,200.571,4,18601,88.0,3558.0,55431.0,99.0
90,2026-02-01T09:37:10.799999Z,2026-02-01T12:05:17.700000Z,8886.9,21.49303,-158.4134,21.47852,-158.38463,3385.9,200.416,4,18532,88.0,3558.0,55416.0,98.0
91,2026-02-01T12:07:40.000000Z,2026-02-01T14:35:26.200000Z,8866.2,21.478241,-158.38463,21.492752,-158.37762,1769.07,200.471,4,18467,88.0,3560.0,55400.0,98.0
92,2026-02-01T14:37:07.000000Z,2026-02-01T17:08:06.200000Z,9059.2,21.492702,-158.37775,21.520126,-158.4144,4865.68,200.315,4,18352,87.0,3560.0,55384.0,98.0
93,2026-02-01T17:09:35.000000Z,2026-02-01T19:36:16.900000Z,8801.9,21.52009,-158.41449,21.506006,-158.4228,1786.5,200.434,4,18336,87.0,3553.0,55369.0,98.0
94,2026-02-01T20:12:35.000000Z,2026-02-02T00:09:02.400000Z,14187.4,21.509998,-158.42831,21.476665,-158.41985,3808.41,200.461,4,18228,86.0,3570.0,55342.0,98.0
95,2026-02-02T00:13:51.000000Z,2026-02-02T04:07:21.599999Z,14010.6,21.47619,-158.41983,21.469946,-158.40958,1267.68,200.434,4,18147,86.0,3563.0,55318.0,98.0
96,2026-02-02T04:12:12.000000Z,2026-02-02T05:47:22.700000Z,5710.7,21.470343,-158.40996,21.487,-158.41167,1860.61,191.041,1,18100,86.0,3565.0,55280.0,98.0
97,2026-02-02T05:48:10.000000Z,2026-02-02T08:00:01.400000Z,7911.4,21.487095,-158.41185,21.499653,-158.41815,1541.02,190.4,2,17976,86.0,3570.0,55266.0,98.0
98,2026-02-02T08:05:49.000000Z,2026-02-02T09:08:45.400000Z,3776.4,21.500921,-158.41849,21.502464,-158.41801,178.62,190.354,1,17983,85.0,3570.0,55259.0,98.0
99,2026-02-02T09:09:32.000000Z,2026-02-02T10:09:46.400000Z,3614.4,21.502487,-158.41803,21.49823,-158.417,485.2,190.327,1,18006,85.0,3568.0,55253.0,98.0
100,2026-02-02T10:10:46.000000Z,2026-02-02T11:13:30.799999Z,3764.8,21.498213,-158.417,21.490126,-158.41411,947.64,190.418,1,17981,85.0,3570.0,55246.0,98.0
101,2026-02-02T11:17:11.000000Z,2026-02-02T12:20:01.700000Z,3770.7,21.48972,-158.4138,21.481768,-158.40793,1072.72,190.308,1,17955,85.0,3570.0,55239.0,98.0
102,2026-02-02T12:21:34.000000Z,2026-02-02T13:21:18.000000Z,3584.0,21.481627,-158.40784,21.476118,-158.40201,859.74,190.372,1,17916,85.0,3570.0,55233.0,98.0
103,2026-02-02T13:26:12.000000Z,2026-02-02T14:28:21.400000Z,3729.4,21.475607,-158.40161,21.472025,-158.39568,731.55,190.381,1,17875,85.0,3563.0,55226.0,98.0
104,2026-02-02T14:30:41.000000Z,2026-02-02T18:00:02.200000Z,12561.2,21.472034,-158.39552,21.470304,-158.38841,760.46,200.48,4,17826,84.0,3573.0,55204.0,98.0
105,2026-02-02T18:01:50.000000Z,2026-02-02T21:28:37.000000Z,12407.0,21.470406,-158.3885,21.48344,-158.38228,1585.79,200.388,4,17706,84.0,3570.0,55182.0,98.0
106,2026-02-02T21:34:38.000000Z,2026-02-03T00:48:20.700000Z,11622.7,21.483854,-158.38206,21.447254,-158.36108,4612.62,200.416,4,17677,84.0,3570.0,55162.0,98.0
107,2026-02-03T00:51:54.000000Z,2026-02-03T02:28:47.799999Z,5813.8,21.446928,-158.36093,21.424507,-158.35492,2569.53,200.416,2,17639,84.0,3570.0,55152.0,98.0
108,2026-02-03T02:30:22.000000Z,2026-02-03T04:18:27.799999Z,6485.8,21.42451,-158.35489,21.42334,-158.34715,811.67,190.381,2,17580,83.0,3575.0,55141.0,98.0
109,2026-02-03T04:19:37.000000Z,2026-02-03T05:53:19.799999Z,5622.8,21.423399,-158.34717,21.424849,-158.34558,230.4,200.434,2,17543,83.0,3573.0,55131.0,98.0
110,2026-02-03T05:59:38.000000Z,2026-02-03T07:34:37.299999Z,5699.3,21.42582,-158.34584,21.431322,-158.34535,613.89,200.26,2,17488,83.0,3573.0,55120.0,98.0
111,2026-02-03T07:36:50.000000Z,2026-02-03T09:11:58.500000Z,5708.5,21.431519,-158.34543,21.432693,-158.3447,150.83,200.416,2,17465,83.0,3573.0,55110.0,98.0
112,2026-02-03T09:15:02.000000Z,2026-02-03T12:25:54.900000Z,11452.9,21.432812,-158.34477,21.411873,-158.33142,2707.52,200.352,4,17390,82.0,3570.0,55090.0,98.0
113,2026-02-03T12:29:33.000000Z,2026-02-03T15:35:35.299999Z,11162.3,21.411213,-158.33125,21.374792,-158.31384,4432.86,200.37,4,17272,82.0,3570.0,55070.0,98.0
114,2026-02-03T15:38:36.000000Z,2026-02-03T18:43:18.200000Z,11082.2,21.374454,-158.31386,21.37073,-158.29527,1968.99,200.37,4,17236,82.0,3575.0,55051.0,98.0
115,2026-02-03T18:44:35.900000Z,2026-02-03T20:34:21.000000Z,6585.1,21.370426,-158.29504,21.372482,-158.29468,231.64,190.455,2,17227,82.0,3575.0,55040.0,98.0
116,2026-02-03T20:35:22.799999Z,2026-02-03T21:20:45.700000Z,2722.9,21.372528,-158.29474,21.374939,-158.29669,335.62,190.345,0,17205,81.0,3570.0,54995.0,98.0
117,2026-02-03T21:21:21.000000Z,2026-02-03T23:13:44.900000Z,6743.9,21.37503,-158.2968,21.374321,-158.29349,351.69,190.29,2,17149,81.0,3570.0,54984.0,98.0
118,2026-02-03T23:15:20.000000Z,2026-02-04T01:01:07.200000Z,6347.2,21.374397,-158.29349,21.366627,-158.29056,915.71,190.381,2,17127,81.0,3570.0,54973.0,98.0
119,2026-02-04T01:04:31.000000Z,2026-02-04T02:42:44.200000Z,5893.2,21.366425,-158.29056,21.354458,-158.28427,1481.54,190.427,2,17092,81.0,3573.0,54963.0,98.0
